# z_source N_kappa omega2_kappa A_kappa
0.001 1.0 1.0 1.0
0.011019038076152305 1.0 1.0 1.0
0.021038076152304613 0.8147479111879472 0.6790973618650173 1.7870531925973994
0.031057114228456917 0.8006805738191136 1.8122990861756931 4.0233428951560075
0.041076152304609224 0.7950210329092636 1.6442729115262964 3.7537804061061344
0.05109519038076153 0.7960035439467009 1.530138251776578 3.5902605838818165
0.06111422845691383 0.8001384062453996 1.4296052858209465 3.457003392538565
0.07113326653306615 0.8052077278643757 1.3568393647194021 3.366796077308421
0.08115230460921845 0.811762310120615 1.286955739822121 3.2840990047942316
0.09117134268537075 0.8184892059223536 1.2298397558867071 3.2196729184142163
0.10119038076152306 0.8252246971047996 1.181510793439687 3.1673560993922765
0.11120941883767536 0.8324911963307349 1.1359314605077415 3.119553091157916
0.12122845691382766 0.8397668956402528 1.0954621207080733 3.078539791184035
0.13124749498997998 0.8471062682109995 1.0586544512736205 3.04237869158376
0.1412665330661323 0.8544769850567053 1.0249493555607996 3.010235713106939
0.15128557114228458 0.8618577365050368 0.9939028624784829 2.981468186280778
0.1613046092184369 0.8692341389451397 0.9651586217245254 2.9555732865897912
0.1713236472945892 0.8765964708185169 0.9384264698529159 2.9321508496625857
0.1813426853707415 0.8839382034992154 0.913467124915325 2.9108776392701623
0.1913617234468938 0.8912550619878259 0.8900809054021074 2.8914889632755703
0.20138076152304613 0.8985442771503551 0.8680997677556432 2.873765801982408
0.2113997995991984 0.9058042148429345 0.8473807671140007 2.857524775030433
0.22141883767535073 0.9130340079148541 0.8278014529046438 2.8426110227596744
0.23143787575150304 0.9202333472392119 0.8092561149795694 2.828892616765621
0.24145691382765533 0.9274023129230076 0.7916528991537507 2.816256306649081
0.25147595190380767 0.934541259605975 0.7749114990920969 2.8046041883522745
0.26149498997995996 0.9416507307128145 0.7589613120106645 2.793851078570265
0.27151402805611224 0.9487313974260222 0.743739942817301 2.7839224176232342
0.2815330661322646 0.9557840137189568 0.7291919859119137 2.7747525869027796
0.2915521042084169 0.9628093829655262 0.7152680244633588 2.766283541549239
0.30157114228456916 0.9698083326755781 0.7019238033631652 2.758463695704443
0.3115901803607215 0.9767817003061859 0.6891195313842955 2.7512469967406736
0.3216092184368738 0.9838764807152468 0.6765467172204179 2.744369755194509
0.3316282565130261 0.9906549899881884 0.6649906536843103 2.7384620843969483
0.3416472945891784 0.9975565184166126 0.6536040445362301 2.7328232009292073
0.3516663326653307 1.0044356704719575 0.6426326021067349 2.727645128857
0.361685370741483 1.011293186386858 0.6320517750152361 2.722900243420574
0.37170440881763533 1.018129778117714 0.6218390769048328 2.7185633545714447
0.3817234468937876 1.0249461222049614 0.611973872638256 2.7146114369065026
0.3917424849699399 1.0317428593606226 0.6024371794400236 2.7110233996130373
0.40176152304609225 1.0385205990262862 0.5932114931470513 2.7077798415105927
0.41178056112224454 1.0452799311839243 0.5842806167613028 2.7048628762744364
0.4217995991983968 1.0520214249058588 0.5756295382516124 2.702255962753055
0.43181863727454917 1.0587456109934281 0.5672443439695761 2.6999438107757516
0.44183767535070145 1.065452985259673 0.5591121122348106 2.697912255168163
0.45185671342685374 1.07214400987664 0.5512208212725465 2.696148141055179
0.4618757515030061 1.0788191240726976 0.5435592552184457 2.6946392171773774
0.47189478957915837 1.0854787531051426 0.5361169231510886 2.693374039042958
0.48191382765531066 1.092123302751189 0.5288840055260127 2.6923419033382325
0.491932865731463 1.0987531604476994 0.5218512989293841 2.6915327906067374
0.5019519038076153 1.1053686877140454 0.5150101755959898 2.690937312914264
0.5119709418837676 1.1119702185228628 0.5083525409734956 2.690546672279852
0.5219899799599199 1.1185580676190474 0.501870782048927 2.6903525969182898
0.5320090180360723 1.1251325317207876 0.4955577299072697 2.690347299463119
0.5420280561122245 1.1316938923234665 0.4894066238389775 2.690523436007509
0.5520470941883768 1.1382424228743582 0.4834110738161154 2.6908740618822655
0.5620661322645292 1.144778383310416 0.4775650407414396 2.6913926114941584
0.5720851703406814 1.1513020187019811 0.4718628136790684 2.692072873479403
0.5821042084168337 1.1578135614809661 0.4662989850939422 2.69290896267936
0.5921232464929861 1.164313231659291 0.46086843046399395 2.6938952981415034
0.6021422845691383 1.1708012314336518 0.4555662950620653 2.695026589116674
0.6121613226452907 1.1772777526937475 0.45038796917593604 2.6962978081649625
0.622180360721443 1.1837429762758105 0.4453290730042946 2.6977041727348867
0.6321993987975952 1.1901970727253395 0.4403854417541905 2.699241129949831
0.6422184368737476 1.196640203223788 0.43555311155646326 2.700904341024649
0.6522374749498999 1.2030725213841638 0.4308283057033542 2.7026896660257536
0.6622565130260522 1.2094941770803378 0.4262074200193717 2.7045931464573205
0.6722755511022045 1.2159053140072669 0.42168701521566104 2.7066109988190927
0.6822945891783568 1.2223060690989411 0.4172638078920486 2.708739604601905
0.6923136272545091 1.2286965731809896 0.41293466116558214 2.710975500146305
0.7023326653306614 1.235076951943191 0.4086965757827074 2.7133153679436393
0.7123517034068138 1.2414473230654195 0.4045466848163407 2.7157560304622694
0.722370741482966 1.2478077956069258 0.40048224710441627 2.7182944449886017
0.7323897795591183 1.2541584724884922 0.3965006383547152 2.720927692661725
0.7424088176352707 1.2604994507657117 0.39259934477948083 2.7236529720688694
0.7524278557114229 1.2668308220766464 0.3887759569497046 2.726467592416331
0.7624468937875752 1.2731526738968748 0.38502816347465013 2.7293689666781935
0.7724659318637276 1.2794650895909003 0.38135374600638333 2.7323546064123816
0.7824849699398798 1.2857681476542617 0.3777505751692261 2.7354221179690383
